1 2 3
1 3 2
2 1 3
2 3 1
3 1 2
3 2 1
1 2 4
1 4 2
2 1 4
2 4 1
4 1 2
4 2 1
1 2 5
1 5 2
2 1 5
2 5 1
5 1 2
5 2 1
1 2 6
1 6 2
2 1 6
2 6 1
6 1 2
6 2 1
1 2 7
1 7 2
2 1 7
2 7 1
7 1 2
7 2 1
1 2 8
1 8 2
2 1 8
2 8 1
8 1 2
8 2 1
1 2 9
1 9 2
2 1 9
2 9 1
9 1 2
9 2 1
1 2 10
1 10 2
2 1 10
2 10 1
10 1 2
10 2 1
1 2 11
1 11 2
2 1 11
2 11 1
11 1 2
11 2 1
1 2 12
1 12 2
2 1 12
2 12 1
12 1 2
12 2 1
1 2 13
1 13 2
2 1 13
2 13 1
13 1 2
13 2 1
1 2 14
1 14 2
2 1 14
2 14 1
14 1 2
14 2 1
1 2 15
1 15 2
2 1 15
2 15 1
15 1 2
15 2 1
1 2 16
1 16 2
2 1 16
2 16 1
16 1 2
16 2 1
1 2 17
1 17 2
2 1 17
2 17 1
17 1 2
17 2 1
1 2 18
1 18 2
2 1 18
2 18 1
18 1 2
18 2 1
1 2 19
1 19 2
2 1 19
2 19 1
19 1 2
19 2 1
1 2 20
1 20 2
2 1 20
2 20 1
20 1 2
20 2 1
1 2 21
1 21 2
2 1 21
2 21 1
21 1 2
21 2 1
1 2 22
1 22 2
2 1 22
2 22 1
22 1 2
22 2 1
1 2 23
1 23 2
2 1 23
2 23 1
23 1 2
23 2 1
1 2 24
1 24 2
2 1 24
2 24 1
24 1 2
24 2 1
1 2 25
1 25 2
2 1 25
2 25 1
25 1 2
25 2 1
1 2 26
1 26 2
2 1 26
2 26 1
26 1 2
26 2 1
1 2 27
1 27 2
2 1 27
2 27 1
27 1 2
27 2 1
1 2 28
1 28 2
2 1 28
2 28 1
28 1 2
28 2 1
1 2 29
1 29 2
2 1 29
2 29 1
29 1 2
29 2 1
1 2 30
1 30 2
2 1 30
2 30 1
30 1 2
30 2 1
1 2 31
1 31 2
2 1 31
2 31 1
31 1 2
31 2 1
1 2 32
1 32 2
2 1 32
2 32 1
32 1 2
32 2 1
1 2 33
1 33 2
2 1 33
2 33 1
33 1 2
33 2 1
1 2 34
1 34 2
2 1 34
2 34 1
34 1 2
34 2 1
1 2 35
1 35 2
2 1 35
2 35 1
35 1 2
35 2 1
1 2 36
1 36 2
2 1 36
2 36 1
36 1 2
36 2 1
1 2 37
1 37 2
2 1 37
2 37 1
37 1 2
37 2 1
1 2 38
1 38 2
2 1 38
2 38 1
38 1 2
38 2 1
1 2 39
1 39 2
2 1 39
2 39 1
39 1 2
39 2 1
1 2 40
1 40 2
2 1 40
2 40 1
40 1 2
40 2 1
1 2 41
1 41 2
2 1 41
2 41 1
41 1 2
41 2 1
1 2 42
1 42 2
2 1 42
2 42 1
42 1 2
42 2 1
1 2 43
1 43 2
2 1 43
2 43 1
43 1 2
43 2 1
1 2 44
1 44 2
2 1 44
2 44 1
44 1 2
44 2 1
1 2 45
1 45 2
2 1 45
2 45 1
45 1 2
45 2 1
1 2 46
1 46 2
2 1 46
2 46 1
46 1 2
46 2 1
1 2 47
1 47 2
2 1 47
2 47 1
47 1 2
47 2 1
1 2 48
1 48 2
2 1 48
2 48 1
48 1 2
48 2 1
1 2 49
1 49 2
2 1 49
2 49 1
49 1 2
49 2 1
1 2 50
1 50 2
2 1 50
2 50 1
50 1 2
50 2 1
1 2 51
1 51 2
2 1 51
2 51 1
51 1 2
51 2 1
1 2 52
1 52 2
2 1 52
2 52 1
52 1 2
52 2 1
1 2 53
1 53 2
2 1 53
2 53 1
53 1 2
53 2 1
1 2 54
1 54 2
2 1 54
2 54 1
54 1 2
54 2 1
1 2 55
1 55 2
2 1 55
2 55 1
55 1 2
55 2 1
1 2 56
1 56 2
2 1 56
2 56 1
56 1 2
56 2 1
1 2 57
1 57 2
2 1 57
2 57 1
57 1 2
57 2 1
1 2 58
1 58 2
2 1 58
2 58 1
58 1 2
58 2 1
1 2 59
1 59 2
2 1 59
2 59 1
59 1 2
59 2 1
1 2 60
1 60 2
2 1 60
2 60 1
60 1 2
60 2 1
1 2 61
1 61 2
2 1 61
2 61 1
61 1 2
61 2 1
1 2 62
1 62 2
2 1 62
2 62 1
62 1 2
62 2 1
1 2 63
1 63 2
2 1 63
2 63 1
63 1 2
63 2 1
1 2 64
1 64 2
2 1 64
2 64 1
64 1 2
64 2 1
1 2 65
1 65 2
2 1 65
2 65 1
65 1 2
65 2 1
1 2 66
